Example ID,Source,Figure ID,Data Provider,PI,Date Received,Data Measurment Published,Type,Carbon,Nitrogen,Phosphorus,Hydrogen,Titanium,Gold,Lithium,Nickel,Cobalt,Manganese,Oxygen,Cadmium,Selenium,Sulfur,Silicon,Platinum,Zinc,Indium,Selenium,Aluminum,Total Comp Knowledge,Particle Diameter Dimension 1 (nm),Particle Diameter Dimension 2 (nm),Particle Diameter Dimension 3 (nm),Capping Agent,Particle Shape,Concentration (mg/L),Surface Area (NMC) (m2/g),pH,Medium,Natural Organic Matter (mg/L),Purification Method,Total Centrifugation Steps,Exposure Time (min),Bacteria,Gram,Identity,Mutation,Prior Exposure,Method,Viability_Fraction,Error,Comments
65,10.1021/acs.analchem.6b04161,2,Tian Autumn Qiu,Christy Haynes,2018/10/6,2016/12/26,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,PAH,Sphere,0.03 ,0,7.40,HEPES Buffer,0,1 C H2O,1,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.00 ,0.07 ,
66,10.1021/acs.analchem.6b04161,2,Tian Autumn Qiu,Christy Haynes,2018/10/6,2016/12/26,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,PAH,Sphere,0.08 ,0,7.40,HEPES Buffer,0,1 C H2O,1,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.55 ,,
67,10.1021/acs.analchem.6b04161,2,Tian Autumn Qiu,Christy Haynes,2018/10/6,2016/12/26,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,PAH,Sphere,0.13 ,0,7.40,HEPES Buffer,0,1 C H2O,1,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.42 ,0.15 ,
68,10.1021/acs.analchem.6b04161,2,Tian Autumn Qiu,Christy Haynes,2018/10/6,2016/12/26,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,PAH,Sphere,0.25 ,0,7.40,HEPES Buffer,0,1 C H2O,1,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.57 ,,
69,10.1021/acs.analchem.6b04161,2,Tian Autumn Qiu,Christy Haynes,2018/10/6,2016/12/26,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,PAH,Sphere,0.30 ,0,7.40,HEPES Buffer,0,1 C H2O,1,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.09 ,,
70,10.1021/acs.analchem.6b04161,2,Tian Autumn Qiu,Christy Haynes,2018/10/6,2016/12/26,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,PAH,Sphere,0.60 ,0,7.40,HEPES Buffer,0,1 C H2O,1,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.01 ,,
71,10.1021/acs.analchem.6b04161,2,Tian Autumn Qiu,Christy Haynes,2018/10/6,2016/12/26,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,5.10,5.10,5.10,PAH,Sphere,0.00 ,0,7.40,HEPES Buffer,0,2 C H2O,2,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.00 ,,
72,10.1021/acs.analchem.6b04161,2,Tian Autumn Qiu,Christy Haynes,2018/10/6,2016/12/26,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,5.10,5.10,5.10,PAH,Sphere,0.30 ,0,7.40,HEPES Buffer,0,2 C H2O,2,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.91 ,,
73,10.1021/acs.analchem.6b04161,2,Tian Autumn Qiu,Christy Haynes,2018/10/6,2016/12/26,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,5.10,5.10,5.10,PAH,Sphere,0.60 ,0,7.40,HEPES Buffer,0,2 C H2O,2,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.66 ,,
74,10.1021/acs.analchem.6b04161,2,Tian Autumn Qiu,Christy Haynes,2018/10/6,2016/12/26,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,5.10,5.10,5.10,PAH,Sphere,1.20 ,0,7.40,HEPES Buffer,0,2 C H2O,2,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.66 ,,
75,10.1021/acs.analchem.6b04161,2,Tian Autumn Qiu,Christy Haynes,2018/10/6,2016/12/26,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,5.10,5.10,5.10,PAH,Sphere,2.00 ,0,7.40,HEPES Buffer,0,2 C H2O,2,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.32 ,0.07 ,
76,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.70,4.70,4.70,PAH,Sphere,0.00 ,0,7.40,HEPES Buffer,0,1 C H2O,1,10,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.00 ,,
77,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.70,4.70,4.70,PAH,Sphere,0.00 ,0,7.40,HEPES Buffer,0,1 C H2O,1,10,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.93 ,,
78,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.70,4.70,4.70,PAH,Sphere,0.00 ,0,7.40,HEPES Buffer,0,1 C H2O,1,10,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.76 ,,
79,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.70,4.70,4.70,PAH,Sphere,0.00 ,0,7.40,HEPES Buffer,0,1 C H2O,1,10,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.35 ,,
80,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.70,4.70,4.70,PAH,Sphere,0.00 ,0,7.40,HEPES Buffer,0,1 C H2O,1,10,Yes,Positive,Bacillus subtilis,SB 491,No,CC,1.00 ,0.27 ,
81,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.70,4.70,4.70,PAH,Sphere,0.00 ,0,7.40,HEPES Buffer,0,1 C H2O,1,10,Yes,Positive,Bacillus subtilis,SB 491,No,CC,0.91 ,,
82,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.70,4.70,4.70,PAH,Sphere,0.00 ,0,7.40,HEPES Buffer,0,1 C H2O,1,10,Yes,Positive,Bacillus subtilis,SB 491,No,CC,0.06 ,,
83,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.70,4.70,4.70,PAH,Sphere,0.00 ,0,7.40,HEPES Buffer,0,1 C H2O,1,10,Yes,Positive,Bacillus subtilis,SB 491,No,CC,0.06 ,0.01 ,
84,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,8.90,8.90,8.90,MPNH2,Sphere,0.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,10,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.00 ,,
85,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,8.90,8.90,8.90,MPNH2,Sphere,0.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,10,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.70 ,,
86,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,8.90,8.90,8.90,MPNH2,Sphere,0.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,10,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.79 ,,
87,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,8.90,8.90,8.90,MPNH2,Sphere,0.01 ,0,7.40,HEPES Buffer,0,Diafiltration,0,10,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.56 ,,
88,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,8.90,8.90,8.90,MPNH2,Sphere,0.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,10,Yes,Positive,Bacillus subtilis,SB 491,No,CC,1.00 ,,
89,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,8.90,8.90,8.90,MPNH2,Sphere,0.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,10,Yes,Positive,Bacillus subtilis,SB 491,No,CC,0.90 ,,
90,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,8.90,8.90,8.90,MPNH2,Sphere,0.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,10,Yes,Positive,Bacillus subtilis,SB 491,No,CC,0.97 ,,
91,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,8.90,8.90,8.90,MPNH2,Sphere,0.01 ,0,7.40,HEPES Buffer,0,Diafiltration,0,10,Yes,Positive,Bacillus subtilis,SB 491,No,CC,0.64 ,,
92,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.20,4.20,4.20,MPA,Sphere,0.01 ,0,7.40,HEPES Buffer,0,Diafiltration,0,10,Yes,Positive,Bacillus subtilis,SB 491,No,CC,1.00 ,0.06 ,
93,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.20,4.20,4.20,MPA,Sphere,0.01 ,0,7.40,HEPES Buffer,0,Diafiltration,0,10,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.00 ,,
94,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,8.90,8.90,8.90,MPNH2,Sphere,0.05 ,0,7.40,HEPES Buffer,0,Diafiltration,0,10,Yes,Positive,Bacillus subtilis,SB 491,No,CC,0.92 ,,
95,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,8.90,8.90,8.90,MPNH2,Sphere,0.50 ,0,7.40,HEPES Buffer,0,Diafiltration,0,10,Yes,Positive,Bacillus subtilis,SB 491,No,CC,0.87 ,,
96,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,8.90,8.90,8.90,MPNH2,Sphere,5.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,10,Yes,Positive,Bacillus subtilis,SB 491,No,CC,0.47 ,,
97,10.1039/c5sc00792e,2,Vivian Feng,Vivian Feng,2019/1/22,2015/6/15,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,8.90,8.90,8.90,MPNH2,Sphere,10.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,10,Yes,Positive,Bacillus subtilis,SB 491,No,CC,0.22 ,,
98,10.1039/c7en00832e,Table 3,Clyde Daly,Christy Haynes,2019/2/1,2017/12/20,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.20,4.20,4.20,PAH,Sphere,0.03 ,0,7.40,HEPES Buffer,0,1 C H2O,1,10,Yes,Negative,Azotobacter vinelandii,UW,No,CC,0.00 ,,
99,10.1039/c7en00832e,Table 3,Clyde Daly,Christy Haynes,2019/2/1,2017/12/20,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.20,4.20,4.20,PAH,Sphere,0.03 ,0,7.40,HEPES Buffer,0,1 C H2O,1,10,Yes,Negative,Pseudomonas aeruginosa,PAO1,No,CC,0.00 ,,
100,10.1039/c7en00832e,Table 3,Clyde Daly,Christy Haynes,2019/2/1,2017/12/20,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.20,4.20,4.20,PAH,Sphere,0.28 ,0,7.40,HEPES Buffer,0,1 C H2O,1,10,Yes,Negative,Shewanella oneidensis,MR-4,No,CC,0.00 ,,
101,10.1039/c7en00832e,Table 3,Clyde Daly,Christy Haynes,2019/2/1,2017/12/20,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.20,4.20,4.20,PAH,Sphere,2.09 ,0,7.40,HEPES Buffer,0,1 C H2O,1,10,Yes,Negative,Acinetobacter baylyi,ADP 1,No,CC,0.00 ,0.00 ,
102,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.47,0.14,0.00,0,0,0,0,0,0,0,0.36,0,0,0,0.00,0.05,0,0.00,0.00,0.00,F,3.70,7.80,7.80,None,Ellipsoid,0.00 ,0,7.40,HEPES Buffer,0,None,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.00 ,,
103,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.47,0.14,0.00,0,0,0,0,0,0,0,0.36,0,0,0,0.00,0.05,0,0.00,0.00,0.00,F,3.70,7.80,7.80,None,Ellipsoid,5000.00 ,0,7.40,HEPES Buffer,0,None,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.28 ,,
104,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.45,0.14,0.02,0,0,0,0,0,0,0,0.33,0,0,0,0.00,0.07,0,0.00,0.00,0.00,F,3.70,6.50,6.50,None,Ellipsoid,5000.00 ,0,7.40,HEPES Buffer,0,None,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.50 ,,
105,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.43,0.11,0.06,0,0,0,0,0,0,0,0.26,0,0,0,0.00,0.14,0,0.00,0.00,0.00,F,3.70,6.90,6.90,None,Ellipsoid,5000.00 ,0,7.40,HEPES Buffer,0,None,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.52 ,,
106,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.45,0.12,0.05,0,0,0,0,0,0,0,0.27,0,0,0,0.00,0.11,0,0.00,0.00,0.00,F,3.70,6.30,6.30,None,Ellipsoid,5000.00 ,0,7.40,HEPES Buffer,0,None,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.19 ,,
107,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.38,0.10,0.11,0,0,0,0,0,0,0,0.32,0,0,0,0.00,0.08,0,0.00,0.00,0.00,F,3.70,7.10,7.10,None,Ellipsoid,5000.00 ,0,7.40,HEPES Buffer,0,None,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.64 ,,
108,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.47,0.14,0.00,0,0,0,0,0,0,0,0.36,0,0,0,0.00,0.05,0,0.00,0.00,0.00,F,3.70,7.80,7.80,None,Ellipsoid,0.00 ,0,7.40,HEPES Buffer,0,None,0,60,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.00 ,,
109,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.47,0.14,0.00,0,0,0,0,0,0,0,0.36,0,0,0,0.00,0.05,0,0.00,0.00,0.00,F,3.70,7.80,7.80,None,Ellipsoid,5000.00 ,0,7.40,HEPES Buffer,0,None,0,60,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.94 ,,
110,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.45,0.14,0.02,0,0,0,0,0,0,0,0.33,0,0,0,0.00,0.07,0,0.00,0.00,0.00,F,3.70,6.50,6.50,None,Ellipsoid,5000.00 ,0,7.40,HEPES Buffer,0,None,0,60,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,2.02 ,,
111,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.43,0.11,0.06,0,0,0,0,0,0,0,0.26,0,0,0,0.00,0.14,0,0.00,0.00,0.00,F,3.70,6.90,6.90,None,Ellipsoid,5000.00 ,0,7.40,HEPES Buffer,0,None,0,60,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,2.09 ,,
112,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.45,0.12,0.05,0,0,0,0,0,0,0,0.27,0,0,0,0.00,0.11,0,0.00,0.00,0.00,F,3.70,6.30,6.30,None,Ellipsoid,5000.00 ,0,7.40,HEPES Buffer,0,None,0,60,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.50 ,0.85 ,
113,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.38,0.10,0.11,0,0,0,0,0,0,0,0.32,0,0,0,0.00,0.08,0,0.00,0.00,0.00,F,3.70,7.10,7.10,None,Ellipsoid,5000.00 ,0,7.40,HEPES Buffer,0,None,0,60,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.15 ,,
114,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.46,0.14,0.01,0,0,0,0,0,0,0,0.30,0,0,0,0.00,0.09,0,0.00,0.00,0.00,F,3.50,5.50,5.50,None,Ellipsoid,0.00 ,0,7.40,HEPES Buffer,0,None,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.00 ,,
115,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.46,0.14,0.01,0,0,0,0,0,0,0,0.30,0,0,0,0.00,0.09,0,0.00,0.00,0.00,F,3.50,5.50,5.50,None,Ellipsoid,5000.00 ,0,7.40,HEPES Buffer,0,None,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.56 ,0.43 ,
116,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.46,0.15,0.02,0,0,0,0,0,0,0,0.29,0,0,0,0.00,0.08,0,0.00,0.00,0.00,F,3.50,8.10,8.10,None,Ellipsoid,5000.00 ,0,7.40,HEPES Buffer,0,None,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.51 ,,
117,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.42,0.13,0.05,0,0,0,0,0,0,0,0.28,0,0,0,0.00,0.11,0,0.00,0.00,0.00,F,3.50,7.90,7.90,None,Ellipsoid,5000.00 ,0,7.40,HEPES Buffer,0,None,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.74 ,,
118,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.39,0.13,0.07,0,0,0,0,0,0,0,0.27,0,0,0,0.00,0.14,0,0.00,0.00,0.00,F,3.50,5.80,5.80,None,Ellipsoid,5000.00 ,0,7.40,HEPES Buffer,0,None,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.73 ,,
119,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.36,0.12,0.08,0,0,0,0,0,0,0,0.28,0,0,0,0.00,0.14,0,0.00,0.00,0.00,F,3.50,7.30,7.30,None,Ellipsoid,5000.00 ,0,7.40,HEPES Buffer,0,None,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.64 ,,
120,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.46,0.14,0.01,0,0,0,0,0,0,0,0.30,0,0,0,0.00,0.09,0,0.00,0.00,0.00,F,3.50,5.50,5.50,None,Ellipsoid,0.00 ,0,7.40,HEPES Buffer,0,None,0,60,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.00 ,,
121,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.46,0.14,0.01,0,0,0,0,0,0,0,0.30,0,0,0,0.00,0.09,0,0.00,0.00,0.00,F,3.50,5.50,5.50,None,Ellipsoid,5000.00 ,0,7.40,HEPES Buffer,0,None,0,60,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.43 ,,
122,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.46,0.15,0.02,0,0,0,0,0,0,0,0.29,0,0,0,0.00,0.08,0,0.00,0.00,0.00,F,3.50,8.10,8.10,None,Ellipsoid,5000.00 ,0,7.40,HEPES Buffer,0,None,0,60,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.55 ,,
123,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.42,0.13,0.05,0,0,0,0,0,0,0,0.28,0,0,0,0.00,0.11,0,0.00,0.00,0.00,F,3.50,7.90,7.90,None,Ellipsoid,5000.00 ,0,7.40,HEPES Buffer,0,None,0,60,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,2.70 ,,
124,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.39,0.13,0.07,0,0,0,0,0,0,0,0.27,0,0,0,0.00,0.14,0,0.00,0.00,0.00,F,3.50,5.80,5.80,None,Ellipsoid,5000.00 ,0,7.40,HEPES Buffer,0,None,0,60,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.49 ,,
125,10.1016/j.carbon.2017.12.004,7,Bo Zhi,Christy Haynes,2019/1/31,2017/12/2,Carbon Dot,0.36,0.12,0.08,0,0,0,0,0,0,0,0.28,0,0,0,0.00,0.14,0,0.00,0.00,0.00,F,3.50,7.30,7.30,None,Ellipsoid,5000.00 ,0,7.40,HEPES Buffer,0,None,0,60,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.00 ,,
126,10.1021/acsanm.8b01000,8,Sunipa Pramanik ,Christy Haynes,2019/1/31,2018/8/10,CdSe Core QD,0,0,0,0,0,0,0,0,0,0,0,0.77,0.23,0,0,0,0,0.00,0.00,0.00,F,3.90,3.90,3.90,None,Sphere,0.00 ,0,7.40,HEPES Buffer,0,None,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.00 ,,
127,10.1021/acsanm.8b01000,8,Sunipa Pramanik ,Christy Haynes,2019/1/31,2018/8/10,CdSe Core QD,0,0,0,0,0,0,0,0,0,0,0,0.77,0.23,0,0,0,0,0.00,0.00,0.00,F,3.90,3.90,3.90,None,Sphere,0.10 ,0,7.40,HEPES Buffer,0,None,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.50 ,,
128,10.1021/acsanm.8b01000,8,Sunipa Pramanik ,Christy Haynes,2019/1/31,2018/8/10,CdSe Core QD,0,0,0,0,0,0,0,0,0,0,0,0.77,0.23,0,0,0,0,0.00,0.00,0.00,F,3.90,3.90,3.90,None,Sphere,0.20 ,0,7.40,HEPES Buffer,0,None,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.33 ,,
129,10.1021/acsanm.8b01000,8,Sunipa Pramanik ,Christy Haynes,2019/1/31,2018/8/10,CdSe Core QD,0,0,0,0,0,0,0,0,0,0,0,0.77,0.23,0,0,0,0,0.00,0.00,0.00,F,3.90,3.90,3.90,None,Sphere,0.50 ,0,7.40,HEPES Buffer,0,None,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.21 ,,
130,10.1021/acsanm.8b01000,8,Sunipa Pramanik ,Christy Haynes,2019/1/31,2018/8/10,CdSe Core QD,0,0,0,0,0,0,0,0,0,0,0,0.80,0.13,0,0,0,0.07,0.00,0.00,0.00,F,4.20,4.20,4.20,None,Sphere,0.00 ,0,7.40,HEPES Buffer,0,None,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.00 ,,
131,10.1021/acsanm.8b01000,8,Sunipa Pramanik ,Christy Haynes,2019/1/31,2018/8/10,CdSe Core QD,0,0,0,0,0,0,0,0,0,0,0,0.80,0.13,0,0,0,0.07,0.00,0.00,0.00,F,4.20,4.20,4.20,None,Sphere,0.10 ,0,7.40,HEPES Buffer,0,None,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.36 ,,
132,10.1021/acsanm.8b01000,8,Sunipa Pramanik ,Christy Haynes,2019/1/31,2018/8/10,CdSe Core QD,0,0,0,0,0,0,0,0,0,0,0,0.80,0.13,0,0,0,0.07,0.00,0.00,0.00,F,4.20,4.20,4.20,None,Sphere,0.20 ,0,7.40,HEPES Buffer,0,None,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.18 ,,
